,course,Credits,Instructor,Department,course_name,description,vec_str
6698,KRS 182,3,J M McMullen,Kinesiology & Rehab Science (KRS),"Sport Proficiency II: Net, Field, and Target ","Knowledge, skill development, position, and strategy of net, field and target sports. Sports like volleyball, tennis, softball, and golf are introduced within a tactical framework. A-F only.","Sport Proficiency II: Net, Field, and Target  Knowledge, skill development, position, and strategy of net, field and target sports. Sports like volleyball, tennis, softball, and golf are introduced within a tactical framework. A-F only. Kinesiology & Rehab Science (KRS)"
6700,KRS 302,3,S K Cohen,Kinesiology & Rehab Science (KRS),Health Promotion and Disease Prevention ,"Understanding standards-based planning, teaching, and assessment in health with a focus on advocacy, as well as the incidence, prevalence, and prevention of disease within sub-topics of health (mental, social, emotional, environmental, financial, etc.). (Summer only)","Health Promotion and Disease Prevention  Understanding standards-based planning, teaching, and assessment in health with a focus on advocacy, as well as the incidence, prevalence, and prevention of disease within sub-topics of health (mental, social, emotional, environmental, financial, etc.). (Summer only) Kinesiology & Rehab Science (KRS)"
6702,KRS 305,3,TBA,Kinesiology & Rehab Science (KRS),Principles of Sports Medicine ,"Examines with some depth, principles of risk management and pathology of athletic injuries, major musculoskeletal structures, and concepts of evaluative skills, treatment, and rehabilitation for common athletic injuries. A-F only.","Principles of Sports Medicine  Examines with some depth, principles of risk management and pathology of athletic injuries, major musculoskeletal structures, and concepts of evaluative skills, treatment, and rehabilitation for common athletic injuries. A-F only. Kinesiology & Rehab Science (KRS)"
6704,KRS 332,3,TBA,Kinesiology & Rehab Science (KRS),Emergency Care and First Aid Training ,"Practicum in training of persons to become qualified in emergency care knowledge, basic life support, and first aid skills. First Aid and CPR certificates may be earned.","Emergency Care and First Aid Training  Practicum in training of persons to become qualified in emergency care knowledge, basic life support, and first aid skills. First Aid and CPR certificates may be earned. Kinesiology & Rehab Science (KRS)"
6712,KRS 353,3,K K Kim,Kinesiology & Rehab Science (KRS),Structural Kinesiology ,"Gross human anatomy, emphasizing identification and description of parts of the musculoskeletal system; selected applications to motor activity. Primarily for KRS majors, but open to others with consent. A-F only. Pre: 113 or BIOL 171/171L or PHYL 103 or PHYL 141/141L or PHYL 301/301L.","Structural Kinesiology  Gross human anatomy, emphasizing identification and description of parts of the musculoskeletal system; selected applications to motor activity. Primarily for KRS majors, but open to others with consent. A-F only. Pre: 113 or BIOL 171/171L or PHYL 103 or PHYL 141/141L or PHYL 301/301L. Kinesiology & Rehab Science (KRS)"
6713,KRS 353,3,K Hennebach,Kinesiology & Rehab Science (KRS),Structural Kinesiology ,"Gross human anatomy, emphasizing identification and description of parts of the musculoskeletal system; selected applications to motor activity. Primarily for KRS majors, but open to others with consent. A-F only. Pre: 113 or BIOL 171/171L or PHYL 103 or PHYL 141/141L or PHYL 301/301L.","Structural Kinesiology  Gross human anatomy, emphasizing identification and description of parts of the musculoskeletal system; selected applications to motor activity. Primarily for KRS majors, but open to others with consent. A-F only. Pre: 113 or BIOL 171/171L or PHYL 103 or PHYL 141/141L or PHYL 301/301L. Kinesiology & Rehab Science (KRS)"
6716,KRS 354,3,P M Tamashiro,Kinesiology & Rehab Science (KRS),Exercise and Sport Physiology ,"Emphasis on physiological responses to exercises and physical training as related to strength, muscular endurance, cardio-respiratory endurance. Primarily for KRS majors, but open to others with consent. Kinesiology and Rehabilitation Science, Health/ Exercise Science and Lifestyle Management, and Physical Education majors only. A-F only. Pre: 113 or PHYL 103 or PHYL 142/142L (or concurrent), or BIOL 171/171L (or concurrent); or consent. Co-requisite: 354L.","Exercise and Sport Physiology  Emphasis on physiological responses to exercises and physical training as related to strength, muscular endurance, cardio-respiratory endurance. Primarily for KRS majors, but open to others with consent. Kinesiology and Rehabilitation Science, Health/ Exercise Science and Lifestyle Management, and Physical Education majors only. A-F only. Pre: 113 or PHYL 103 or PHYL 142/142L (or concurrent), or BIOL 171/171L (or concurrent); or consent. Co-requisite: 354L. Kinesiology & Rehab Science (KRS)"
6718,KRS 354L,2,T P Short,Kinesiology & Rehab Science (KRS),Exercise and Sport Physiology Lab ,"Laboratory section to accompany KRS 354. Emphasis will be hands-on data collection and analysis of the physiological responses to exercise and physical training. Lab report development and scientific writing will also be emphasized. Kinesiology and Rehabilitation Science, Health/Exercise Science and Lifestyle Management, and Physical Education majors only. A-F only. Pre: 113 or PHYL 103 or PHYL 142/142L (or concurrent), or BIOL 171/171L (or concurrent); or consent. Co-requisite: 354.","Exercise and Sport Physiology Lab  Laboratory section to accompany KRS 354. Emphasis will be hands-on data collection and analysis of the physiological responses to exercise and physical training. Lab report development and scientific writing will also be emphasized. Kinesiology and Rehabilitation Science, Health/Exercise Science and Lifestyle Management, and Physical Education majors only. A-F only. Pre: 113 or PHYL 103 or PHYL 142/142L (or concurrent), or BIOL 171/171L (or concurrent); or consent. Co-requisite: 354. Kinesiology & Rehab Science (KRS)"
6724,KRS 372,3,J M McMullen,Kinesiology & Rehab Science (KRS),Teaching Techniques II: Secondary ,"Teaching techniques and methods of secondary physical education. Content to include invasion, net, field, and target activities. Emphasizes the tactical approach in a school-based experience. Primarily for KRS majors. A-F only. Pre: 181, 182, admittance to COE, and consent.","Teaching Techniques II: Secondary  Teaching techniques and methods of secondary physical education. Content to include invasion, net, field, and target activities. Emphasizes the tactical approach in a school-based experience. Primarily for KRS majors. A-F only. Pre: 181, 182, admittance to COE, and consent. Kinesiology & Rehab Science (KRS)"
6726,KRS 395,3,K K Kim,Kinesiology & Rehab Science (KRS),Personal Health and Wellness ,"Core concepts in health allow students to take responsibility
for their own health-related behaviors by developing basic competencies in identifying, analyzing, and responsibly deliberating contemporary ethical issues related to health and wellness.","Personal Health and Wellness  Core concepts in health allow students to take responsibility
for their own health-related behaviors by developing basic competencies in identifying, analyzing, and responsibly deliberating contemporary ethical issues related to health and wellness. Kinesiology & Rehab Science (KRS)"
6727,KRS 395,3,TBA,Kinesiology & Rehab Science (KRS),Personal Health and Wellness ,"Core concepts in health allow students to take responsibility
for their own health-related behaviors by developing basic competencies in identifying, analyzing, and responsibly deliberating contemporary ethical issues related to health and wellness.","Personal Health and Wellness  Core concepts in health allow students to take responsibility
for their own health-related behaviors by developing basic competencies in identifying, analyzing, and responsibly deliberating contemporary ethical issues related to health and wellness. Kinesiology & Rehab Science (KRS)"
6730,KRS 404,3,C F Morgan,Kinesiology & Rehab Science (KRS),K-12 Teaching Methods in Physical Education ,"Methods and materials in teaching physical education, including techniques, leadership skills, program evaluation, and designing course content using written communication skills. Repeatable one time, but credit earned one time only. A-F only. KRS majors only. Co-requisite: 402E.","K-12 Teaching Methods in Physical Education  Methods and materials in teaching physical education, including techniques, leadership skills, program evaluation, and designing course content using written communication skills. Repeatable one time, but credit earned one time only. A-F only. KRS majors only. Co-requisite: 402E. Kinesiology & Rehab Science (KRS)"
6732,KRS 406,3,J M McMullen,Kinesiology & Rehab Science (KRS),Seminar in Teaching Residency ,"Analysis and resolutions of issues in teaching residency; teaching strategies and techniques; curriculum planning; professional growth and development. Repeatable one time. A-F only. Pre: 402E, 402S, and 404 or consent; admittance to licensure track, pass Praxis II Core Academic Skills tests.","Seminar in Teaching Residency  Analysis and resolutions of issues in teaching residency; teaching strategies and techniques; curriculum planning; professional growth and development. Repeatable one time. A-F only. Pre: 402E, 402S, and 404 or consent; admittance to licensure track, pass Praxis II Core Academic Skills tests. Kinesiology & Rehab Science (KRS)"
6734,KRS 415,3,TBA,Kinesiology & Rehab Science (KRS),Prevent/Care of Athletic Injuries ,"An examination of the most recent practices and procedures in the prevention and care of athletic and sports injuries. Observational field experiences in athletic training will be required. A-F only. Pre: 113, or PHYL 103, or PHYL 141/141L and PHYL 142/142L, or BIOL 171/171L.","Prevent/Care of Athletic Injuries  An examination of the most recent practices and procedures in the prevention and care of athletic and sports injuries. Observational field experiences in athletic training will be required. A-F only. Pre: 113, or PHYL 103, or PHYL 141/141L and PHYL 142/142L, or BIOL 171/171L. Kinesiology & Rehab Science (KRS)"
6736,KRS 421,3,TBA,Kinesiology & Rehab Science (KRS),Upper Extremity Assessment ,"An examination of the pathology of injuries to the upper extremities and their care and treatment designed for Athletic Training, Exercise Science and Allied Health professionals. Kinesiology and Rehabilitation Science, Health/Exercise Science and Lifestyle Management, and Physical Education majors only. A-F only. Pre: 353 and 415, or consent.","Upper Extremity Assessment  An examination of the pathology of injuries to the upper extremities and their care and treatment designed for Athletic Training, Exercise Science and Allied Health professionals. Kinesiology and Rehabilitation Science, Health/Exercise Science and Lifestyle Management, and Physical Education majors only. A-F only. Pre: 353 and 415, or consent. Kinesiology & Rehab Science (KRS)"
6737,KRS 421,3,B Freemyer,Kinesiology & Rehab Science (KRS),Upper Extremity Assessment ,"An examination of the pathology of injuries to the upper extremities and their care and treatment designed for Athletic Training, Exercise Science and Allied Health professionals. Kinesiology and Rehabilitation Science, Health/Exercise Science and Lifestyle Management, and Physical Education majors only. A-F only. Pre: 353 and 415, or consent.","Upper Extremity Assessment  An examination of the pathology of injuries to the upper extremities and their care and treatment designed for Athletic Training, Exercise Science and Allied Health professionals. Kinesiology and Rehabilitation Science, Health/Exercise Science and Lifestyle Management, and Physical Education majors only. A-F only. Pre: 353 and 415, or consent. Kinesiology & Rehab Science (KRS)"
6744,KRS 434,3,TBA,Kinesiology & Rehab Science (KRS),Coaching Athletics ,"Combined lecture-lab with emphasis on scientific principles, theory and practice, and professional qualities of the coach. A-F only. Pre: consent.","Coaching Athletics  Combined lecture-lab with emphasis on scientific principles, theory and practice, and professional qualities of the coach. A-F only. Pre: consent. Kinesiology & Rehab Science (KRS)"
6746,KRS 443,4,K Hennebach,Kinesiology & Rehab Science (KRS),Disability and Diversity in Physical Activity ,"(3 Lec, 1 1-hr. Lab) Participants will explore issues related to individuals with exceptionalities, how these affect learning and behavior in the health and physical activity settings. Oral communication practice and skills are worth >30% grade. Required field experience. A-F only. (Cross-listed as SPED 443)","Disability and Diversity in Physical Activity  (3 Lec, 1 1-hr. Lab) Participants will explore issues related to individuals with exceptionalities, how these affect learning and behavior in the health and physical activity settings. Oral communication practice and skills are worth >30% grade. Required field experience. A-F only. (Cross-listed as SPED 443) Kinesiology & Rehab Science (KRS)"
6747,KRS 443,4,A R Tsuchida,Kinesiology & Rehab Science (KRS),Disability and Diversity in Physical Activity ,"(3 Lec, 1 1-hr. Lab) Participants will explore issues related to individuals with exceptionalities, how these affect learning and behavior in the health and physical activity settings. Oral communication practice and skills are worth >30% grade. Required field experience. A-F only. (Cross-listed as SPED 443)","Disability and Diversity in Physical Activity  (3 Lec, 1 1-hr. Lab) Participants will explore issues related to individuals with exceptionalities, how these affect learning and behavior in the health and physical activity settings. Oral communication practice and skills are worth >30% grade. Required field experience. A-F only. (Cross-listed as SPED 443) Kinesiology & Rehab Science (KRS)"
6750,KRS 463,3,J H Prins,Kinesiology & Rehab Science (KRS),Sport Biomechanics ,"Concepts and scientific principles essential to efficient human movement; proper application of bio-mechanical principles to fundamental movements and selected complex motor skills. A-F only. Pre: 353, and either PHYS 100, PHYS 151, or PHYS 170; or consent.","Sport Biomechanics  Concepts and scientific principles essential to efficient human movement; proper application of bio-mechanical principles to fundamental movements and selected complex motor skills. A-F only. Pre: 353, and either PHYS 100, PHYS 151, or PHYS 170; or consent. Kinesiology & Rehab Science (KRS)"
6754,KRS 474,3,S K Cohen,Kinesiology & Rehab Science (KRS),Statistics in Kinesiology ,"Basic elements for: descriptive statistics, probability, inference, regression, and correlation analysis. A-F only.","Statistics in Kinesiology  Basic elements for: descriptive statistics, probability, inference, regression, and correlation analysis. A-F only. Kinesiology & Rehab Science (KRS)"
6756,KRS 477,4,A R Tsuchida,Kinesiology & Rehab Science (KRS),Motor Development and Learning ,"(3 Lec, 1 1-hr. Lab) Motor development through the lifespan with an emphasis on fundamental principles and patterns. Areas such as memory, knowledge of performance, and motivation are incorporated and demonstrated through multiple writing assignments. Required field experience. Primarily for KRS majors. A-F only. Pre: 181, 182, admittance to COE, and consent.","Motor Development and Learning  (3 Lec, 1 1-hr. Lab) Motor development through the lifespan with an emphasis on fundamental principles and patterns. Areas such as memory, knowledge of performance, and motivation are incorporated and demonstrated through multiple writing assignments. Required field experience. Primarily for KRS majors. A-F only. Pre: 181, 182, admittance to COE, and consent. Kinesiology & Rehab Science (KRS)"
6758,KRS 480,3,TBA,Kinesiology & Rehab Science (KRS),Nutrition in Exercise and Sport ,"Effects of physiologic demands of exercise on nutrition. Emphasis on physiologic and biochemical basis for nutrition recommendations to enhance exercise participation and optimize athletic performance. Pre: FSHN 185, and KRS 113 or PHYL 103 or (PHYL 141/141L and 142/142L) or PHYL 301. (Cross-listed as FSHN 480)","Nutrition in Exercise and Sport  Effects of physiologic demands of exercise on nutrition. Emphasis on physiologic and biochemical basis for nutrition recommendations to enhance exercise participation and optimize athletic performance. Pre: FSHN 185, and KRS 113 or PHYL 103 or (PHYL 141/141L and 142/142L) or PHYL 301. (Cross-listed as FSHN 480) Kinesiology & Rehab Science (KRS)"
6760,KRS 484,3,S K Cohen,Kinesiology & Rehab Science (KRS),"Drug Abuse, Violence, and Injury Prevention ","Standards-based planning, teaching, and assessment on the scientific, socio-cultural, and
attitudinal aspects of drug abuse, violence, and injury prevention. Focus on incidence and prevalence, roles, prevention, and high-risk populations. A-F only.","Drug Abuse, Violence, and Injury Prevention  Standards-based planning, teaching, and assessment on the scientific, socio-cultural, and
attitudinal aspects of drug abuse, violence, and injury prevention. Focus on incidence and prevalence, roles, prevention, and high-risk populations. A-F only. Kinesiology & Rehab Science (KRS)"
6762,KRS 488,4,P M Tamashiro,Kinesiology & Rehab Science (KRS),Practicum in Health and Exercise Science ,"Culminating 160 hours of supervised practicum experience in health, wellness, fitness assessment, lifestyle management, and/or exercise leadership. Qualifying hours are contingent upon instructor’s approval in the registered semester. Health and Exercise Science majors only. Pre: current CPR and First Aid Certification, 152, 332, 353, 354, and 463; or consent.","Practicum in Health and Exercise Science  Culminating 160 hours of supervised practicum experience in health, wellness, fitness assessment, lifestyle management, and/or exercise leadership. Qualifying hours are contingent upon instructor’s approval in the registered semester. Health and Exercise Science majors only. Pre: current CPR and First Aid Certification, 152, 332, 353, 354, and 463; or consent. Kinesiology & Rehab Science (KRS)"
6766,KRS 489,3,B Y Toyama,Kinesiology & Rehab Science (KRS),Program Design in Strength Training and Conditioning ,"Designed to provide theoretical and practical experience in supervision of a strength training center. Content includes program design, exercise techniques, organization, testing, evaluation, methods of strength development, facility design and special populations. Kinesiology & Rehabilitation Science, Health/Exercise Science and Lifestyle Management, and Physical Education majors only. A-F only. Pre: 152, 153, 353, 354, 354L, and 463; or consent.","Program Design in Strength Training and Conditioning  Designed to provide theoretical and practical experience in supervision of a strength training center. Content includes program design, exercise techniques, organization, testing, evaluation, methods of strength development, facility design and special populations. Kinesiology & Rehabilitation Science, Health/Exercise Science and Lifestyle Management, and Physical Education majors only. A-F only. Pre: 152, 153, 353, 354, 354L, and 463; or consent. Kinesiology & Rehab Science (KRS)"
6770,KRS 603,3,C D Stickley,Kinesiology & Rehab Science (KRS),"Lower Extremity, Thorax, and Abdomen ","Human gross anatomy dissection of the lower extremity, thorax, and abdomen with emphasis on muscles, function, innervation, and vascular supply. Repeatable one time. Enrolled in DRB or KRS graduate programs (including Biomed Sci-Anat/ RepoBiol & Phys majors) only or consent. A-F only. (Spring only) (Cross-listed as ANAT 603)","Lower Extremity, Thorax, and Abdomen  Human gross anatomy dissection of the lower extremity, thorax, and abdomen with emphasis on muscles, function, innervation, and vascular supply. Repeatable one time. Enrolled in DRB or KRS graduate programs (including Biomed Sci-Anat/ RepoBiol & Phys majors) only or consent. A-F only. (Spring only) (Cross-listed as ANAT 603) Kinesiology & Rehab Science (KRS)"
6772,KRS 610,3,Y Oba,Kinesiology & Rehab Science (KRS),"Athletic Training, Clinical Experience II ","(1 Sem, 5 3-hr Practicum) Practicum includes duties and responsibilities of athletic training students. Practicum must be completed during second semester post admission to the program. Athletic Training majors only. A-F only. (Spring only)","Athletic Training, Clinical Experience II  (1 Sem, 5 3-hr Practicum) Practicum includes duties and responsibilities of athletic training students. Practicum must be completed during second semester post admission to the program. Athletic Training majors only. A-F only. (Spring only) Kinesiology & Rehab Science (KRS)"
6774,KRS 612,3,Y Oba,Kinesiology & Rehab Science (KRS),"Athletic Training, Clinical Experience IV ","(1 Sem, 5 3-hr Practicum) Culminating practicum requiring performance of duties and responsibilities of second year graduate athletic training students. A practical field experience in athletic training is required. Athletic Training majors only. A-F only. Pre: 611 or consent. (Spring only)","Athletic Training, Clinical Experience IV  (1 Sem, 5 3-hr Practicum) Culminating practicum requiring performance of duties and responsibilities of second year graduate athletic training students. A practical field experience in athletic training is required. Athletic Training majors only. A-F only. Pre: 611 or consent. (Spring only) Kinesiology & Rehab Science (KRS)"
6776,KRS 618,3,TBA,Kinesiology & Rehab Science (KRS),Therapeutic Interventions: Rehabilitative Exercise ,"(3 Lec, 1 3-hr Lab) Concepts and principles of comprehensive rehabilitation programs (therapeutic goals and objectives, exercise selection, methods of evaluation and recording progress, progression and return to competition criteria, and physiological effects of tissue trauma and inactivity). Athletic Training majors only. (Spring only)","Therapeutic Interventions: Rehabilitative Exercise  (3 Lec, 1 3-hr Lab) Concepts and principles of comprehensive rehabilitation programs (therapeutic goals and objectives, exercise selection, methods of evaluation and recording progress, progression and return to competition criteria, and physiological effects of tissue trauma and inactivity). Athletic Training majors only. (Spring only) Kinesiology & Rehab Science (KRS)"
6778,KRS 620,1,B Freemyer,Kinesiology & Rehab Science (KRS),Seminar in Athletic Training ,Designed to provide the student with analytical skills and practical experience relative to research as it applies to sports related injuries. Repeatable unlimited times. Pre: consent.,Seminar in Athletic Training  Designed to provide the student with analytical skills and practical experience relative to research as it applies to sports related injuries. Repeatable unlimited times. Pre: consent. Kinesiology & Rehab Science (KRS)
6780,KRS 621,3,TBA,Kinesiology & Rehab Science (KRS),Advanced Therapeutic Exercise ,"Advanced concepts and evidence-based principles of rehabilitation programs. Enhancement of previously learned therapeutic exercise techniques and integration of therapeutic modalities and therapeutic exercise, including objective and functional goal setting and evaluation for appropriate progression and expedited return to activity. KRS majors only. Pre: 617 and 618 or basic therapeutic exercise and therapeutic modalities courses, or consent.","Advanced Therapeutic Exercise  Advanced concepts and evidence-based principles of rehabilitation programs. Enhancement of previously learned therapeutic exercise techniques and integration of therapeutic modalities and therapeutic exercise, including objective and functional goal setting and evaluation for appropriate progression and expedited return to activity. KRS majors only. Pre: 617 and 618 or basic therapeutic exercise and therapeutic modalities courses, or consent. Kinesiology & Rehab Science (KRS)"
6782,KRS 640,3,C F Morgan,Kinesiology & Rehab Science (KRS),Seminar in Physical Activity ,"Trends, research, and problems related to physical activity across the lifespan. A variety of topics and contexts will be addressed. Enrolled in KRS graduate program only. A-F only. Pre: consent. (Spring only)","Seminar in Physical Activity  Trends, research, and problems related to physical activity across the lifespan. A variety of topics and contexts will be addressed. Enrolled in KRS graduate program only. A-F only. Pre: consent. (Spring only) Kinesiology & Rehab Science (KRS)"
6784,KRS 641,3,K Tamura,Kinesiology & Rehab Science (KRS),Seminar: Health/Exercise Science ,Review of selected current literature in exercise/sport science and leisure studies. Practice of presentation in group setting.,Seminar: Health/Exercise Science  Review of selected current literature in exercise/sport science and leisure studies. Practice of presentation in group setting. Kinesiology & Rehab Science (KRS)
6786,KRS 663,3,C D Stickley,Kinesiology & Rehab Science (KRS),Biomechanics of Human Motion ,Principles of motion as applied to sport and physical rehabilitation. Introduction to the technology used in the analysis of motion. Pre: consent.,Biomechanics of Human Motion  Principles of motion as applied to sport and physical rehabilitation. Introduction to the technology used in the analysis of motion. Pre: consent. Kinesiology & Rehab Science (KRS)
6788,KRS 674,3,A R Tsuchida,Kinesiology & Rehab Science (KRS),Assessment in Physical Activity ,"Overview of assessment purposes, types, practices and procedures used in physical education for those with disabilities. Frequently used motor assessments and practices in collection of data will be specifically addressed. A-F only. Pre: consent. (Spring only)","Assessment in Physical Activity  Overview of assessment purposes, types, practices and procedures used in physical education for those with disabilities. Frequently used motor assessments and practices in collection of data will be specifically addressed. A-F only. Pre: consent. (Spring only) Kinesiology & Rehab Science (KRS)"
6790,KRS 775,3,C D Stickley,Kinesiology & Rehab Science (KRS),Doctoral Seminar and Research I in Kinesiology ,"Will expose the PhD student to the basic nature of behavioral and somatic science research. Learning experiences will consist of journal review, laboratory/field techniques, and subject or data collector exposures as directed by faculty mentors. Repeatable one time. KRS majors only. CR/NC only. Pre: consent.","Doctoral Seminar and Research I in Kinesiology  Will expose the PhD student to the basic nature of behavioral and somatic science research. Learning experiences will consist of journal review, laboratory/field techniques, and subject or data collector exposures as directed by faculty mentors. Repeatable one time. KRS majors only. CR/NC only. Pre: consent. Kinesiology & Rehab Science (KRS)"
6792,KRS 776,3,C D Stickley,Kinesiology & Rehab Science (KRS),Doctoral Seminar and Research II in Kinesiology ,"Provide the PhD student the opportunity to be involved in research, under the direction of the faculty mentor, as the assistant project director and as the project director for pilot studies. Student will gain experience in these roles with close supervision by the faculty mentor. Repeatable one time. KRS majors only. CR/NC only. Pre: 775 or consent.","Doctoral Seminar and Research II in Kinesiology  Provide the PhD student the opportunity to be involved in research, under the direction of the faculty mentor, as the assistant project director and as the project director for pilot studies. Student will gain experience in these roles with close supervision by the faculty mentor. Repeatable one time. KRS majors only. CR/NC only. Pre: 775 or consent. Kinesiology & Rehab Science (KRS)"
6794,KRS 777,3-6,C D Stickley,Kinesiology & Rehab Science (KRS),Doctoral Seminar and Research III in Kinesiology ,Provide the PhD student the opportunity to assume the role of director of a research project under the supervision of the faculty mentor. The research project will represent a piece of the ongoing line of research of the faculty mentor. Responsibilities will be comparable of a project director of research funded by a research grant. Repeatable three times or up to 12 credits. KRS majors only. CR/NC only. Pre: 776 or consent.,Doctoral Seminar and Research III in Kinesiology  Provide the PhD student the opportunity to assume the role of director of a research project under the supervision of the faculty mentor. The research project will represent a piece of the ongoing line of research of the faculty mentor. Responsibilities will be comparable of a project director of research funded by a research grant. Repeatable three times or up to 12 credits. KRS majors only. CR/NC only. Pre: 776 or consent. Kinesiology & Rehab Science (KRS)
6796,KRS 778,3,C D Stickley,Kinesiology & Rehab Science (KRS),Doctoral Seminar IV in Kinesiology ,"Designed to enable PhD students to gain a perspective of the discipline, both historically and philosophically, prepare them for the issues they may face in the real world, particularly higher education and help them initiate their dissertation. CR/NC only. KRS majors only. Pre: consent.","Doctoral Seminar IV in Kinesiology  Designed to enable PhD students to gain a perspective of the discipline, both historically and philosophically, prepare them for the issues they may face in the real world, particularly higher education and help them initiate their dissertation. CR/NC only. KRS majors only. Pre: consent. Kinesiology & Rehab Science (KRS)"
6798,KOR 101,4,H Lee,Korean (KOR),Elementary Korean ,"Listening, speaking, reading, writing, grammar. Meets one hour, four times a week, plus lab work. Pre: consent.","Elementary Korean  Listening, speaking, reading, writing, grammar. Meets one hour, four times a week, plus lab work. Pre: consent. Korean (KOR)"
6802,KOR 101,4,J J Hartford,Korean (KOR),Elementary Korean ,"Listening, speaking, reading, writing, grammar. Meets one hour, four times a week, plus lab work. Pre: consent.","Elementary Korean  Listening, speaking, reading, writing, grammar. Meets one hour, four times a week, plus lab work. Pre: consent. Korean (KOR)"
6810,KOR 102,4,H Chung,Korean (KOR),Elementary Korean ,Continuation of 101. Pre: 101 or consent.,Elementary Korean  Continuation of 101. Pre: 101 or consent. Korean (KOR)
6814,KOR 102,4,S Choi,Korean (KOR),Elementary Korean ,Continuation of 101. Pre: 101 or consent.,Elementary Korean  Continuation of 101. Pre: 101 or consent. Korean (KOR)
6816,KOR 102,4,J Lee,Korean (KOR),Elementary Korean ,Continuation of 101. Pre: 101 or consent.,Elementary Korean  Continuation of 101. Pre: 101 or consent. Korean (KOR)
6818,KOR 102,4,B Woo,Korean (KOR),Elementary Korean ,Continuation of 101. Pre: 101 or consent.,Elementary Korean  Continuation of 101. Pre: 101 or consent. Korean (KOR)
6830,KOR 201,4,S Nam,Korean (KOR),Intermediate Korean ,"Continuation of 101 and 102. Meets one hour, four times a week, plus lab work. Pre: 102 or placement test; or consent.","Intermediate Korean  Continuation of 101 and 102. Meets one hour, four times a week, plus lab work. Pre: 102 or placement test; or consent. Korean (KOR)"
6832,KOR 201,4,L Park,Korean (KOR),Intermediate Korean ,"Continuation of 101 and 102. Meets one hour, four times a week, plus lab work. Pre: 102 or placement test; or consent.","Intermediate Korean  Continuation of 101 and 102. Meets one hour, four times a week, plus lab work. Pre: 102 or placement test; or consent. Korean (KOR)"
6838,KOR 202,4,S Chang,Korean (KOR),Intermediate Korean ,Continuation of 201. Pre: 201 or placement test; or consent.,Intermediate Korean  Continuation of 201. Pre: 201 or placement test; or consent. Korean (KOR)
6840,KOR 202,4,J Yoo,Korean (KOR),Intermediate Korean ,Continuation of 201. Pre: 201 or placement test; or consent.,Intermediate Korean  Continuation of 201. Pre: 201 or placement test; or consent. Korean (KOR)
6842,KOR 202,4,B J Fox,Korean (KOR),Intermediate Korean ,Continuation of 201. Pre: 201 or placement test; or consent.,Intermediate Korean  Continuation of 201. Pre: 201 or placement test; or consent. Korean (KOR)
6850,KOR 301,3,S Chang,Korean (KOR),Third-Level Korean ,Continuation of 201 and 202. Major emphasis on comprehension of modern written Korean. Chinese characters. Pre: 202 or consent. (Fall only),Third-Level Korean  Continuation of 201 and 202. Major emphasis on comprehension of modern written Korean. Chinese characters. Pre: 202 or consent. (Fall only) Korean (KOR)
6854,KOR 302,3,N Kim,Korean (KOR),Third-Level Korean ,Continuation of 301. Pre: 301 or consent. (Spring only),Third-Level Korean  Continuation of 301. Pre: 301 or consent. (Spring only) Korean (KOR)
6856,KOR 302,3,D Han,Korean (KOR),Third-Level Korean ,Continuation of 301. Pre: 301 or consent. (Spring only),Third-Level Korean  Continuation of 301. Pre: 301 or consent. (Spring only) Korean (KOR)
6862,KOR 308,3,T B Miyashiro,Korean (KOR),Readings in Chinese Characters II ,"Continuation of 307, covering an additional 250 basic Chinese characters. Pre: 307 or consent.","Readings in Chinese Characters II  Continuation of 307, covering an additional 250 basic Chinese characters. Pre: 307 or consent. Korean (KOR)"
6866,KOR 380,3,H C Smith,Korean (KOR),Korean Proficiency Through TV Drama ,"Increasing Korean proficiency to advanced level through TV drama, which provides culturally and situationally rich contexts. Includes an emphasis on instruction in writing. Pre: 302 or consent.","Korean Proficiency Through TV Drama  Increasing Korean proficiency to advanced level through TV drama, which provides culturally and situationally rich contexts. Includes an emphasis on instruction in writing. Pre: 302 or consent. Korean (KOR)"
6870,KOR 402,3,K Lee,Korean (KOR),Fourth-Level Korean ,Continuation of 401. Pre: 401 or consent. (Spring only),Fourth-Level Korean  Continuation of 401. Pre: 401 or consent. (Spring only) Korean (KOR)
6874,KOR 404,3,H C Smith,Korean (KOR),High-Advanced Korean II ,"Continuation of 403. Emphasis on highest level of listening, speaking, reading and writing, with application to Korean culture using authentic materials. Pre: 402 or consent.","High-Advanced Korean II  Continuation of 403. Emphasis on highest level of listening, speaking, reading and writing, with application to Korean culture using authentic materials. Pre: 402 or consent. Korean (KOR)"
6878,KOR 411,3,H Chung,Korean (KOR),Advanced Oral Communication in Korean ,Fourth-year advanced Korean course to increase learners’ oral fluency and accuracy; with an emphasis on formal speaking. Covers linguistic proficiency as well as social and cultural proficiencies. Pre: 402 or consent.,Advanced Oral Communication in Korean  Fourth-year advanced Korean course to increase learners’ oral fluency and accuracy; with an emphasis on formal speaking. Covers linguistic proficiency as well as social and cultural proficiencies. Pre: 402 or consent. Korean (KOR)
6882,KOR 420,3,H Lee,Korean (KOR),Korean Composition ,Training in modern structural and stylistic techniques; writing on designated themes. Repeatable one time. Pre: 402 or consent.,Korean Composition  Training in modern structural and stylistic techniques; writing on designated themes. Repeatable one time. Pre: 402 or consent. Korean (KOR)
